

Trajectories
100
,,PETT:table1,,,PETT:table2,,,PETT:balle1,,,PETT:dos1,,,PETT:dos2,,,PETT:torse2,,,PETT:cou2,,,PETT:epaule G2,,,PETT:bras G2,,,PETT:coude G2,,,PETT:epaule D2,,,PETT:bras D2,,,PETT:coude D2,,,PETT:av bras D2,,,PETT:av bras D3,,,PETT:main D3,,,PETT:raquette2,,,PETT:raquette3,,,PETT:raquette4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
31,0,-1346.88,891.183,-7.30823,-1380.47,-609.969,5.86642,1485.63,209.874,435.479,-1774.19,169.216,225.454,,,,-1766.38,195.496,669.758,,,,-1864.9,367.102,713.756,-1972.3,483.933,430.527,-1905.87,486.413,376.362,-1899.85,24.7923,723.775,-1956.51,-113.047,402.46,-1881.92,-103.527,360.643,-1677.02,-61.7218,365.479,-1687.02,-22.4574,444.744,-1624.69,-56.0407,413.69,-1490.92,38.2174,441.628,-1512.14,40.7447,571.578,,,
32,0,-1346.85,891.185,-7.33333,-1380.46,-609.972,5.8631,1488.48,212.19,435.416,-1772.36,170.243,224.003,,,,-1766.94,196.872,667.913,,,,-1864.62,368.81,711.806,-1972.22,485.242,428.714,-1905.75,487.265,375.286,-1899.69,26.2689,722.129,-1955.62,-112.263,401.082,-1880.74,-102.595,359.067,-1676.17,-60.5185,364.62,-1686.61,-21.0894,443.836,-1623.64,-54.0395,412.487,-1490.25,40.6637,440.964,-1511.8,42.6578,571.038,,,
33,0,-1346.86,891.192,-7.32961,-1380.46,-609.956,5.84794,1492.08,214.587,435.282,-1771.99,171.243,222.069,,,,-1767.22,198.33,666.22,,,,-1864.71,370.518,710.046,-1972.34,486.439,426.919,-1905.69,488.35,374.158,-1899.72,27.9132,720.397,-1954.92,-111.3,399.809,-1879.87,-101.723,357.751,-1675.27,-58.9124,363.566,-1685.83,-19.0566,442.459,-1623,-52.6164,411.567,-1490.1,43.1365,440.099,-1513.81,45.224,569.62,,,
34,0,-1346.86,891.171,-7.3373,-1380.48,-609.951,5.85058,1496.38,217.047,435.075,-1771.39,172.578,220.822,,,,-1771.49,202.053,664.078,,,,-1864.83,372.376,708.124,-1972.68,487.925,425.168,-1905.67,489.668,372.994,-1895.77,29.0818,717.142,-1953.87,-110.065,397.927,-1879.06,-100.458,356.297,-1674.38,-56.7008,362.223,-1685.04,-17.2565,441.039,-1621.99,-49.9137,410.189,-1489.31,45.397,439.555,-1514.48,47.5074,568.404,,,
35,0,-1346.85,891.174,-7.34753,-1380.48,-609.931,5.84903,1501.31,219.553,434.795,-1770.16,174.394,219.61,,,,-1766.77,202.381,663.342,,,,-1864.99,374.385,706.302,-1971.79,490.188,422.603,-1905.72,491.221,371.811,-1896.37,31.1065,715.55,-1952.87,-108.57,396.071,-1877.81,-98.5554,354.56,-1673.93,-55.0717,360.971,-1684.79,-15.5262,439.869,-1621.6,-48.3435,409.118,-1489.25,47.9031,438.503,-1514.17,49.4606,567.373,,,
36,0,-1346.85,891.171,-7.32599,-1380.48,-609.945,5.8404,1506.79,222.088,434.442,-1768.96,176.133,217.692,,,,-1767.45,204.147,661.548,,,,-1865.23,376.552,704.465,-1971.36,492.296,420.535,-1905.82,493.006,370.625,-1897.24,33.3615,714.058,-1952.07,-106.939,394.444,-1876.91,-96.8852,352.984,-1672.83,-52.8284,359.567,-1683.78,-13.2974,438.797,-1620.69,-46.2365,407.904,-1488.87,50.3916,437.596,-1516.31,52.066,566.739,,,
37,0,-1346.87,891.172,-7.33371,-1380.46,-609.944,5.84478,1512.76,224.631,434.016,-1768.42,177.769,216.079,,,,-1767.72,206.878,659.818,,,,-1865.29,378.895,702.725,-1971.27,494.264,418.881,-1905.99,495.025,369.454,-1896.89,35.5427,712.136,-1951.38,-104.96,392.827,-1876.41,-94.999,351.718,-1672.45,-50.3461,358.327,-1683.37,-11.3093,437.815,-1619.94,-43.7624,406.718,-1488.2,52.9997,436.801,-1516.1,53.9423,565.955,,,
38,0,-1346.83,891.173,-7.34785,-1380.43,-609.965,5.84561,1519.13,227.163,433.519,-1767.19,180.29,215.225,,,,-1767.17,209.003,658.878,,,,-1866.12,381.212,701.337,-1971.22,496.647,417.414,-1906.21,497.274,368.314,-1901.24,38.6579,712.162,-1950.52,-102.666,391.046,-1875.29,-92.4479,350.285,-1671.88,-47.9544,357.495,-1682.9,-9.15232,436.83,-1619.54,-41.2125,405.555,-1488.45,55.0172,435.929,-1515.25,55.4095,565.145,,,
39,0,-1346.86,891.175,-7.31721,-1380.46,-609.961,5.85576,1525.81,229.665,432.953,-1767.31,182.53,213.859,,,,-1768.48,211.512,657.653,,,,-1866.21,383.849,699.846,-1970.93,499.098,415.7,-1906.49,499.753,367.222,-1901.45,41.0928,710.712,-1949.88,-100.332,389.621,-1874.85,-90.2883,349.022,-1671.31,-45.0257,356.308,-1682.17,-6.18174,435.735,-1619,-38.9506,404.582,-1486.93,57.0278,435.616,-1515.25,57.3544,564.636,,,
40,0,-1346.83,891.182,-7.36034,-1380.44,-609.96,5.83007,1532.72,232.116,432.32,-1766.01,184.917,212.782,,,,-1767.31,214.301,657.077,,,,-1866.68,386.804,698.828,-1969.9,502.047,414.001,-1906.83,502.458,366.195,-1898.86,43.3315,708.424,-1949.36,-97.5017,388.328,-1873.76,-86.9528,347.619,-1670.59,-42.2773,355.396,-1681.83,-3.80239,434.719,-1618.71,-36.5614,403.738,-1485.84,59.016,435.472,-1515.34,59.1491,564.379,,,
